pair_id,text_a,text_b,label,note
p01,Machine learning systems discover useful patterns in data. A model is trained on examples and later predicts outcomes for unseen records. Careful evaluation is necessary because an accurate training score does not guarantee good generalization.,Machine learning systems discover useful patterns in data. The model is trained with examples and then predicts outcomes for previously unseen records. Careful evaluation is necessary because a strong training score does not guarantee good generalization.,1,near-copy machine learning
p02,"To bake soft bread, mix flour with water, yeast, salt, and a small amount of oil. Knead the dough until elastic, let it rise in a warm place, and bake it in a preheated oven.","To bake soft bread, combine flour with water, yeast, salt and a little oil. Knead the dough until it becomes elastic, allow it to rise in a warm place, then bake it in a preheated oven.",1,near-copy recipe
p03,"Astronomers study distant galaxies by collecting light with telescopes. Spectral lines reveal chemical composition, motion, and temperature, while repeated observations help measure changes over time.","Astronomers examine distant galaxies by collecting their light through telescopes. Spectral lines reveal chemical composition, motion and temperature, and repeated observations help scientists measure changes over time.",1,near-copy astronomy
p04,شهرهای هوشمند با استفاده از حسگرها، داده‌های ترافیک و مصرف انرژی را جمع‌آوری می‌کنند. تحلیل این داده‌ها می‌تواند به کاهش ازدحام، مدیریت بهتر منابع و بهبود خدمات عمومی کمک کند.,در شهر هوشمند، حسگرها اطلاعات مربوط به ترافیک و مصرف انرژی را ثبت می‌کنند. تحلیل داده‌های ثبت‌شده به کاهش ازدحام، مدیریت منابع و بهتر شدن خدمات عمومی کمک می‌کند.,1,Persian paraphrase
p05,The committee approved the final research proposal after a detailed review of methods and ethical safeguards.,"After carefully reviewing the methodology and ethical protections, the committee approved the final research proposal.",1,word-order paraphrase
p06,"Solar panels convert sunlight into electricity, while batteries store excess energy for use at night.",Photovoltaic modules produce electrical power from sunlight and storage cells keep surplus energy available after sunset.,1,semantic paraphrase with low overlap
p07,The university library extended its opening hours during examinations so students could study late in the evening.,"During the exam period, students were allowed to study late because the campus library stayed open for longer hours.",1,moderate paraphrase
p08,"Regular exercise improves cardiovascular health, strengthens muscles, and can reduce stress when practiced consistently.","Consistent physical activity can lower stress, build muscle strength, and improve the health of the heart and blood vessels.",1,moderate paraphrase
p09,"Data preprocessing removes noise, normalizes formats, and transforms raw records into features suitable for analysis.","Before analysis, raw records are cleaned of noise, their formats are standardized, and useful features are produced.",1,technical paraphrase
p10,Encryption protects confidential messages by converting readable information into ciphertext that requires a key.,Confidential communication is protected when readable content is transformed into ciphertext and can only be recovered with a key.,1,technical near-copy
p11,Machine learning systems discover useful patterns in data. A model is trained on examples and later predicts outcomes for unseen records. Careful evaluation is necessary because an accurate training score does not guarantee good generalization.,"To bake soft bread, mix flour with water, yeast, salt, and a small amount of oil. Knead the dough until elastic, let it rise in a warm place, and bake it in a preheated oven.",0,unrelated ML and cooking
p12,"Astronomers study distant galaxies by collecting light with telescopes. Spectral lines reveal chemical composition, motion, and temperature, while repeated observations help measure changes over time.","A secure password manager stores unique credentials in an encrypted vault. Multi-factor authentication adds another barrier when an attacker learns a password, and regular software updates reduce known vulnerabilities.",0,unrelated astronomy and security
